STT,Phân Loại,Tên Group,Group ID,Tin Chưa Đọc,Loại
1,1. Kho Rau Củ (KRC),RAU - Vấn đề chất lượng (CATE - STORE),-1001828938896,17678,Kênh/Supergroup
2,1. Kho Rau Củ (KRC),KRC - SCV,-4979811379,0,Nhóm chat
3,1. Kho Rau Củ (KRC),MZK1 - KRC,-4030476706,0,Nhóm chat
4,1. Kho Rau Củ (KRC),26.KRC_SCF x SCM x QC x MD,-1002660074323,102,Kênh/Supergroup
5,1. Kho Rau Củ (KRC),IC - KDB - KRC,-4987767491,0,Nhóm chat
6,1. Kho Rau Củ (KRC),KRC - A129 (MIDTOWN),-1003320071474,0,Kênh/Supergroup
7,1. Kho Rau Củ (KRC),SCM - KRC (Đối soát),-1003511338216,9,Kênh/Supergroup
8,1. Kho Rau Củ (KRC),KRC-TNT,-884405296,0,Nhóm chat
9,1. Kho Rau Củ (KRC),KRC - PPZ,-4640196068,0,Nhóm chat
10,1. Kho Rau Củ (KRC),KRC - VH6 ( GH5),-4932789771,0,Nhóm chat
11,1. Kho Rau Củ (KRC),KRC - MZ2,-4233295350,0,Nhóm chat
12,1. Kho Rau Củ (KRC),SCM - KRC (hình ảnh chênh lệch),-1003904217153,0,Kênh/Supergroup
13,1. Kho Rau Củ (KRC),KRC-A118 (Vĩnh Viễn),-5023949319,0,Nhóm chat
14,1. Kho Rau Củ (KRC),KRC - CLN,-4259263792,0,Nhóm chat
15,1. Kho Rau Củ (KRC),KRC - VH7 ( BS11),-4909139945,0,Nhóm chat
16,1. Kho Rau Củ (KRC),KRC - AKR,-4172822430,0,Nhóm chat
17,1. Kho Rau Củ (KRC),KRC - A131 (B01.05 Dream Home Palace),-5172801086,0,Nhóm chat
18,1. Kho Rau Củ (KRC),KRC - ERT,-780757722,0,Nhóm chat
19,1. Kho Rau Củ (KRC),KRC - LVT,-4589898683,0,Nhóm chat
20,1. Kho Rau Củ (KRC),KRC - PHI,-602094001,0,Nhóm chat
21,1. Kho Rau Củ (KRC),KRC - A200 (H36 KDC Thới An),-5576406617,0,Nhóm chat
22,1. Kho Rau Củ (KRC),KRC - A107 (Đường D3),-1003881507373,0,Kênh/Supergroup
23,1. Kho Rau Củ (KRC),KRC - A166 (Happy Valley),-5182777019,0,Nhóm chat
24,1. Kho Rau Củ (KRC),KRC - HPD,-4519351886,0,Nhóm chat
25,1. Kho Rau Củ (KRC),KRC - A113 (Phan Văn Hân),-4908410647,0,Nhóm chat
26,1. Kho Rau Củ (KRC),KRC - ECG,-4804060590,0,Nhóm chat
27,1. Kho Rau Củ (KRC),KRC - A188 (Chung Cư Thuận Việt),-5249434303,0,Nhóm chat
28,1. Kho Rau Củ (KRC),KRC - PHG,-1001554939736,0,Kênh/Supergroup
29,1. Kho Rau Củ (KRC),KRC - MTE,-4819157472,0,Nhóm chat
30,1. Kho Rau Củ (KRC),KRC - A184 (Saigon Mia),-5176917150,0,Nhóm chat
31,1. Kho Rau Củ (KRC),KRC - A126 (274 Lê Văn Sỹ),-5024268686,0,Nhóm chat
32,1. Kho Rau Củ (KRC),KRC - NVT,-579645963,0,Nhóm chat
33,1. Kho Rau Củ (KRC),KRC - PGS,-1001523449323,0,Kênh/Supergroup
34,1. Kho Rau Củ (KRC),KRC - NTO,-4271997870,0,Nhóm chat
35,1. Kho Rau Củ (KRC),SCM- KRC Nội bộ,-1003957313850,18,Kênh/Supergroup
36,1. Kho Rau Củ (KRC),KRC - HMN,-4064721923,0,Nhóm chat
37,1. Kho Rau Củ (KRC),KRC - TSO,-1003361550177,0,Kênh/Supergroup
38,1. Kho Rau Củ (KRC),KRC - VH2,-4065136928,0,Nhóm chat
39,1. Kho Rau Củ (KRC),KRC - CKO,-769181228,0,Nhóm chat
40,1. Kho Rau Củ (KRC),KRC - KDG,-4943941041,0,Nhóm chat
41,1. Kho Rau Củ (KRC),KRC-VGP,-948922477,0,Nhóm chat
42,1. Kho Rau Củ (KRC),KRC - A207 (Palm Residence),-5552370383,0,Nhóm chat
43,1. Kho Rau Củ (KRC),KRC - VH3,-4085868781,0,Nhóm chat
44,1. Kho Rau Củ (KRC),KRC - A144 (16 Hoàng Anh Thanh Bình),-5296727737,0,Nhóm chat
45,1. Kho Rau Củ (KRC),KRC - NHG,-1001635852752,5,Kênh/Supergroup
46,1. Kho Rau Củ (KRC),KRC - VHT,-1001705324344,1,Kênh/Supergroup
47,1. Kho Rau Củ (KRC),KRC - A127 (B-SH.06 Urban Green),-5268985249,4,Nhóm chat
48,1. Kho Rau Củ (KRC),KRC-BCG (Bcons Garden),-4053224638,5,Nhóm chat
49,1. Kho Rau Củ (KRC),KRC_A105_02 Lê Lợi,-4907500481,5,Nhóm chat
50,1. Kho Rau Củ (KRC),KRC-A124(74 đướng số 1-Sky9),-5097394639,5,Nhóm chat
51,1. Kho Rau Củ (KRC),KRC-A103( 222 LVL),-4976500983,0,Nhóm chat
52,1. Kho Rau Củ (KRC),KRC - HLR,-4566564137,0,Nhóm chat
